storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
EP072005  GREG  19  410400  2643066555.2963  45  2005
EP072006  FABIO  21  453600  2256348055.13333  45  2006
EP072009  ENRIQUE  20  432000  3851010463.6  55  2009
EP072012  GILMA  33  712800  9293007304.2963  70  2012
EP072013  GIL  32  691200  12756931664.5963  75  2013
EP072014  GENEVIEVE  87  1879200  85103802255.4444  140  2014
EP072015  FELICIA  22  475200  1158685087.94074  35  2015
EP072016  FRANK  39  842400  14417027431.4556  75  2016
EP081972  HYACINTH  41  885600  42727247824.0889  110  1972
EP081982  HECTOR  22  475200  7535864309.25926  65  1982
EP081983  HENRIETTE  42  907200  61715787867.737  115  1983
EP081986  HOWARD  9  194400  871954641.051852  35  1986
EP081987  HILARY  35  756000  43194839014.4  105  1987
EP081990  GENEVIEVE  35  756000  26081074969.6407  90  1990
EP081991  GUILLERMO  28  604800  11251964421.5667  70  1991
EP081992  GEORGETTE  48  1036800  50702397882.1074  95  1992
EP081993  GREG  56  1209600  84443587021.3259  115  1993
EP081994  LI  70  1512000  11090954247.5444  65  1994
EP081995  GIL  28  604800  7723341909.14815  55  1995
EP081997  FELICIA  33  712800  46599211666.5  115  1997
EP081998  GEORGETTE  26  561600  27246744517.1852  100  1998
EP082001  GIL  23  496800  15879352710.5889  85  2001
EP082002  FAUSTO  51  1101600  50449486923.8259  125  2002
EP082003  HILDA  18  388800  1588780758.27407  35  2003
EP082004  FRANK  18  388800  7439184684.21852  75  2004
EP082005  HILARY  34  734400  22224918062.1222  90  2005
EP082006  GILMA  17  367200  1076709588.38148  35  2006
EP082009  FELICIA  33  712800  57850073278.6555  125  2009
EP082012  HECTOR  36  777600  3462821550.88889  45  2012
EP082013  HENRIETTE  41  885600  25243307420.3333  90  2013
EP082014  HERNAN  22  475200  5435012381.09259  65  2014
EP082015  EIGHT  16  345600  1103177014.24815  30  2015
EP082016  GEORGETTE  37  799200  28199204245.2481  115  2016
EP091972  IVA  33  712800  4121198769.32222  45  1972
EP091982  IVA  30  648000  2167388095.97037  35  1982
EP091983  ISMAEL  24  518400  14276970636.2444  85  1983
EP091986  ISIS  18  388800  2973174172.35556  45  1986
EP091987  IRWIN  23  496800  7617839808.81852  55  1987
EP091990  HERNAN  47  1015200  97233602968.2556  135  1990
EP091991  HILDA  26  561600  4990580188.41481  55  1991
EP091992  HOWARD  19  410400  4379256171.52222  55  1992
EP091993  HILARY  41  885600  35377390702.1704  105  1993
EP091994  HECTOR  12  259200  2513670251.05926  55  1994
EP091995  HENRIETTE  29  626400  17064505224.3963  85  1995
EP091997  GUILLERMO  99  2138400  132334923714.511  140  1997
EP091998  HOWARD  40  864000  90602777582.3815  130  1998
EP092001  HENRIETTE  17  367200  3831159894.2  55  2001
EP092002  GENEVIEVE  26  561600  6398132600.12963  60  2002
EP092003  IGNACIO  22  475200  14807789566.1259  90  2003
EP092004  UNNAMED  19  410400  905774129.659259  30  2004
EP092005  IRWIN  34  734400  2332074301.36296  45  2005
EP092006  HECTOR  35  756000  26464117438.4333  95  2006
EP092009  NINE  25  540000  1583634314.35556  30  2009
EP092012  ILEANA  47  1015200  13545807996.6778  75  2012
EP092013  IVO  31  669600  2290535146.87778  40  2013
EP092014  ISELLE  45  972000  64444505953.963  120  2014
EP092015  GUILLERMO  50  1080000  32209754470.3222  95  2015
EP092016  HOWARD  29  626400  3930045138.06296  50  2016
EP101972  JOANNE  29  626400  24401496236.5185  85  1972
EP101982  JOHN  35  756000  33429461679.0111  100  1982
EP101983  JULIETTE  31  669600  3882624333.38518  50  1983
EP101986  JAVIER  44  950400  68614595940.5111  115  1986
EP101987  JOVA  34  734400  20059367981.837  90  1987
EP101990  ISELLE  41  885600  57330282442.8852  105  1990
EP101991  UNNAMED  7  151200  455460286.788889  30  1991
EP101992  ISIS  21  453600  4940953764.91481  55  1992
